"country";"1952";"1957";"1962";"1967";"1972";"1977";"1982";"1987";"1992";"1997";"2002";"2007"
"Afghanistan";8.4;9.2;10.3;11.5;13.1;14.9;12.9;13.9;16.3;22.2;25.3;31.9
"Albania";1.3;1.5;1.7;2;2.3;2.5;2.8;3.1;3.3;3.4;3.5;3.6
"Algeria";9.3;10.3;11;12.8;14.8;17.2;20;23.3;26.3;29.1;31.3;33.3
"Angola";4.2;4.6;4.8;5.2;5.9;6.2;7;7.9;8.7;9.9;10.9;12.4
"Argentina";17.9;19.6;21.3;22.9;24.8;27;29.3;31.6;34;36.2;38.3;40.3
"Australia";8.7;9.7;10.8;11.9;13.2;14.1;15.2;16.3;17.5;18.6;19.5;20.4
"Austria";6.9;7;7.1;7.4;7.5;7.6;7.6;7.6;7.9;8.1;8.1;8.2
"Bahrain";0.1;0.1;0.2;0.2;0.2;0.3;0.4;0.5;0.5;0.6;0.7;0.7
"Bangladesh";46.9;51.4;56.8;62.8;70.8;80.4;93.1;103.8;113.7;123.3;135.7;150.4
"Belgium";8.7;9;9.2;9.6;9.7;9.8;9.9;9.9;10;10.2;10.3;10.4
"Benin";1.7;1.9;2.2;2.4;2.8;3.2;3.6;4.2;5;6.1;7;8.1
"Bolivia";2.9;3.2;3.6;4;4.6;5.1;5.6;6.2;6.9;7.7;8.4;9.1
"Bosnia and Herzegovina";2.8;3.1;3.3;3.6;3.8;4.1;4.2;4.3;4.3;3.6;4.2;4.6
"Botswana";0.4;0.5;0.5;0.6;0.6;0.8;1;1.2;1.3;1.5;1.6;1.6
"Brazil";56.6;65.6;76;88;100.8;114.3;129;142.9;156;168.5;179.9;190
"Bulgaria";7.3;7.7;8;8.3;8.6;8.8;8.9;9;8.7;8.1;7.7;7.3
"Burkina Faso";4.5;4.7;4.9;5.1;5.4;5.9;6.6;7.6;8.9;10.4;12.3;14.3
"Burundi";2.4;2.7;3;3.3;3.5;3.8;4.6;5.1;5.8;6.1;7;8.4
"Cambodia";4.7;5.3;6.1;7;7.5;7;7.3;8.4;10.2;11.8;12.9;14.1
"Cameroon";5;5.4;5.8;6.3;7;8;9.3;10.8;12.5;14.2;15.9;17.7
"Canada";14.8;17;19;20.8;22.3;23.8;25.2;26.5;28.5;30.3;31.9;33.4
"Central African Republic";1.3;1.4;1.5;1.7;1.9;2.2;2.5;2.8;3.3;3.7;4;4.4
"Chad";2.7;2.9;3.2;3.5;3.9;4.4;4.9;5.5;6.4;7.6;8.8;10.2
"Chile";6.4;7;8;8.9;9.7;10.6;11.5;12.5;13.6;14.6;15.5;16.3
"China";556.3;637.4;665.8;754.5;862;943.5;1000.3;1084;1165;1230.1;1280.4;1318.7
"Colombia";12.4;14.5;17;19.8;22.5;25.1;27.8;31;34.2;37.7;41;44.2
"Comoros";0.2;0.2;0.2;0.2;0.3;0.3;0.3;0.4;0.5;0.5;0.6;0.7
"Congo, Dem. Rep.";14.1;15.6;17.5;19.9;23;26.5;30.6;35.5;41.7;47.8;55.4;64.6
"Congo, Rep.";0.9;0.9;1;1.2;1.3;1.5;1.8;2.1;2.4;2.8;3.3;3.8
"Costa Rica";0.9;1.1;1.3;1.6;1.8;2.1;2.4;2.8;3.2;3.5;3.8;4.1
"Cote d'Ivoire";3;3.3;3.8;4.7;6.1;7.5;9;10.8;12.8;14.6;16.3;18
"Croatia";3.9;4;4.1;4.2;4.2;4.3;4.4;4.5;4.5;4.4;4.5;4.5
"Cuba";6;6.6;7.3;8.1;8.8;9.5;9.8;10.2;10.7;11;11.2;11.4
"Czech Republic";9.1;9.5;9.6;9.8;9.9;10.2;10.3;10.3;10.3;10.3;10.3;10.2
"Denmark";4.3;4.5;4.6;4.8;5;5.1;5.1;5.1;5.2;5.3;5.4;5.5
"Djibouti";0.1;0.1;0.1;0.1;0.2;0.2;0.3;0.3;0.4;0.4;0.4;0.5
"Dominican Republic";2.5;2.9;3.5;4;4.7;5.3;6;6.7;7.4;8;8.7;9.3
"Ecuador";3.5;4.1;4.7;5.4;6.3;7.3;8.4;9.5;10.7;11.9;12.9;13.8
"Egypt";22.2;25;28.2;31.7;34.8;38.8;45.7;52.8;59.4;66.1;73.3;80.3
"El Salvador";2;2.4;2.7;3.2;3.8;4.3;4.5;4.8;5.3;5.8;6.4;6.9
"Equatorial Guinea";0.2;0.2;0.2;0.3;0.3;0.2;0.3;0.3;0.4;0.4;0.5;0.6
"Eritrea";1.4;1.5;1.7;1.8;2.3;2.5;2.6;2.9;3.7;4.1;4.4;4.9
"Ethiopia";20.9;22.8;25.1;27.9;30.8;34.6;38.1;43;52.1;59.9;67.9;76.5
"Finland";4.1;4.3;4.5;4.6;4.6;4.7;4.8;4.9;5;5.1;5.2;5.2
"France";42.5;44.3;47.1;49.6;51.7;53.2;54.4;55.6;57.4;58.6;59.9;61.1
"Gabon";0.4;0.4;0.5;0.5;0.5;0.7;0.8;0.9;1;1.1;1.3;1.5
"Gambia";0.3;0.3;0.4;0.4;0.5;0.6;0.7;0.8;1;1.2;1.5;1.7
"Germany";69.1;71;73.7;76.4;78.7;78.2;78.3;77.7;80.6;82;82.4;82.4
"Ghana";5.6;6.4;7.4;8.5;9.4;10.5;11.4;14.2;16.3;18.4;20.6;22.9
"Greece";7.7;8.1;8.4;8.7;8.9;9.3;9.8;10;10.3;10.5;10.6;10.7
"Guatemala";3.1;3.6;4.2;4.7;5.1;5.7;6.4;7.3;8.5;9.8;11.2;12.6
"Guinea";2.7;2.9;3.1;3.5;3.8;4.2;4.7;5.7;7;8;8.8;9.9
"Guinea-Bissau";0.6;0.6;0.6;0.6;0.6;0.7;0.8;0.9;1.1;1.2;1.3;1.5
"Haiti";3.2;3.5;3.9;4.3;4.7;4.9;5.2;5.8;6.3;6.9;7.6;8.5
"Honduras";1.5;1.8;2.1;2.5;3;3.1;3.7;4.4;5.1;5.9;6.7;7.5
"Hong Kong, China";2.1;2.7;3.3;3.7;4.1;4.6;5.3;5.6;5.8;6.5;6.8;7
"Hungary";9.5;9.8;10.1;10.2;10.4;10.6;10.7;10.6;10.3;10.2;10.1;10
"Iceland";0.1;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.3;0.3;0.3;0.3
"India";372;409;454;506;567;634;708;788;872;959;1034.2;1110.4
"Indonesia";82.1;90.1;99;109.3;121.3;136.7;153.3;169.3;184.8;199.3;211.1;223.5
"Iran";17.3;19.8;22.9;26.5;30.6;35.5;43.1;51.9;60.4;63.3;66.9;69.5
"Iraq";5.4;6.2;7.2;8.5;10.1;11.9;14.2;16.5;17.9;20.8;24;27.5
"Ireland";3;2.9;2.8;2.9;3;3.3;3.5;3.5;3.6;3.7;3.9;4.1
"Israel";1.6;1.9;2.3;2.7;3.1;3.5;3.9;4.2;4.9;5.5;6;6.4
"Italy";47.7;49.2;50.8;52.7;54.4;56.1;56.5;56.7;56.8;57.5;57.9;58.1
"Jamaica";1.4;1.5;1.7;1.9;2;2.2;2.3;2.3;2.4;2.5;2.7;2.8
"Japan";86.5;91.6;95.8;100.8;107.2;113.9;118.5;122.1;124.3;126;127.1;127.5
"Jordan";0.6;0.7;0.9;1.3;1.6;1.9;2.3;2.8;3.9;4.5;5.3;6.1
"Kenya";6.5;7.5;8.7;10.2;12;14.5;17.7;21.2;25;28.3;31.4;35.6
"Korea, Dem. Rep.";8.9;9.4;10.9;12.6;14.8;16.3;17.6;19.1;20.7;21.6;22.2;23.3
"Korea, Rep.";20.9;22.6;26.4;30.1;33.5;36.4;39.3;41.6;43.8;46.2;48;49
"Kuwait";0.2;0.2;0.4;0.6;0.8;1.1;1.5;1.9;1.4;1.8;2.1;2.5
"Lebanon";1.4;1.6;1.9;2.2;2.7;3.1;3.1;3.1;3.2;3.4;3.7;3.9
"Lesotho";0.7;0.8;0.9;1;1.1;1.3;1.4;1.6;1.8;2;2;2
"Liberia";0.9;1;1.1;1.3;1.5;1.7;2;2.3;1.9;2.2;2.8;3.2
"Libya";1;1.2;1.4;1.8;2.2;2.7;3.3;3.8;4.4;4.8;5.4;6
"Madagascar";4.8;5.2;5.7;6.3;7.1;8;9.2;10.6;12.2;14.2;16.5;19.2
"Malawi";2.9;3.2;3.6;4.1;4.7;5.6;6.5;7.8;10;10.4;11.8;13.3
"Malaysia";6.7;7.7;8.9;10.2;11.4;12.8;14.4;16.3;18.3;20.5;22.7;24.8
"Mali";3.8;4.2;4.7;5.2;5.8;6.5;7;7.6;8.4;9.4;10.6;12
"Mauritania";1;1.1;1.1;1.2;1.3;1.5;1.6;1.8;2.1;2.4;2.8;3.3
"Mauritius";0.5;0.6;0.7;0.8;0.9;0.9;1;1;1.1;1.1;1.2;1.3
"Mexico";30.1;35;41.1;48;56;63.8;71.6;80.1;88.1;95.9;102.5;108.7
"Mongolia";0.8;0.9;1;1.1;1.3;1.5;1.8;2;2.3;2.5;2.7;2.9
"Montenegro";0.4;0.4;0.5;0.5;0.5;0.6;0.6;0.6;0.6;0.7;0.7;0.7
"Morocco";9.9;11.4;13.1;14.8;16.7;18.4;20.2;23;25.8;28.5;31.2;33.8
"Mozambique";6.4;7;7.8;8.7;9.8;11.1;12.6;12.9;13.2;16.6;18.5;20
"Myanmar";20.1;21.7;23.6;25.9;28.5;31.5;34.7;38;40.5;43.2;45.6;47.8
"Namibia";0.5;0.5;0.6;0.7;0.8;1;1.1;1.3;1.6;1.8;2;2.1
"Nepal";9.2;9.7;10.3;11.3;12.4;13.9;15.8;17.9;20.3;23;25.9;28.9
"Netherlands";10.4;11;11.8;12.6;13.3;13.9;14.3;14.7;15.2;15.6;16.1;16.6
"New Zealand";2;2.2;2.5;2.7;2.9;3.2;3.2;3.3;3.4;3.7;3.9;4.1
"Nicaragua";1.2;1.4;1.6;1.9;2.2;2.6;3;3.3;4;4.6;5.1;5.7
"Niger";3.4;3.7;4.1;4.5;5.1;5.7;6.4;7.3;8.4;9.7;11.1;12.9
"Nigeria";33.1;37.2;41.9;47.3;53.7;62.2;73;81.6;93.4;106.2;119.9;135
"Norway";3.3;3.5;3.6;3.8;3.9;4;4.1;4.2;4.3;4.4;4.5;4.6
"Oman";0.5;0.6;0.6;0.7;0.8;1;1.3;1.6;1.9;2.3;2.7;3.2
"Pakistan";41.3;46.7;53.1;60.6;69.3;78.2;91.5;105.2;120.1;135.6;153.4;169.3
"Panama";0.9;1.1;1.2;1.4;1.6;1.8;2;2.3;2.5;2.7;3;3.2
"Paraguay";1.6;1.8;2;2.3;2.6;3;3.4;3.9;4.5;5.2;5.9;6.7
"Peru";8;9.1;10.5;12.1;14;16;18.1;20.2;22.4;24.7;26.8;28.7
"Philippines";22.4;26.1;30.3;35.4;40.9;46.9;53.5;60;67.2;75;83;91.1
"Poland";25.7;28.2;30.3;31.8;33;34.6;36.2;37.7;38.4;38.7;38.6;38.5
"Portugal";8.5;8.8;9;9.1;9;9.7;9.9;9.9;9.9;10.2;10.4;10.6
"Puerto Rico";2.2;2.3;2.4;2.6;2.8;3.1;3.3;3.4;3.6;3.8;3.9;3.9
"Reunion";0.3;0.3;0.4;0.4;0.5;0.5;0.5;0.6;0.6;0.7;0.7;0.8
"Romania";16.6;17.8;18.7;19.3;20.7;21.7;22.4;22.7;22.8;22.6;22.4;22.3
"Rwanda";2.5;2.8;3.1;3.5;4;4.7;5.5;6.3;7.3;7.2;7.9;8.9
"Sao Tome and Principe";0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.2;0.2
"Saudi Arabia";4;4.4;4.9;5.6;6.5;8.1;11.3;14.6;16.9;21.2;24.5;27.6
"Senegal";2.8;3.1;3.4;4;4.6;5.3;6.1;7.2;8.3;9.5;10.9;12.3
"Serbia";6.9;7.3;7.6;8;8.3;8.7;9;9.2;9.8;10.3;10.1;10.2
"Sierra Leone";2.1;2.3;2.5;2.7;2.9;3.1;3.5;3.9;4.3;4.6;5.4;6.1
"Singapore";1.1;1.4;1.8;2;2.2;2.3;2.7;2.8;3.2;3.8;4.2;4.6
"Slovak Republic";3.6;3.8;4.2;4.4;4.6;4.8;5;5.2;5.3;5.4;5.4;5.4
"Slovenia";1.5;1.5;1.6;1.6;1.7;1.7;1.9;1.9;2;2;2;2
"Somalia";2.5;2.8;3.1;3.4;3.8;4.4;5.8;6.9;6.1;6.6;7.8;9.1
"South Africa";14.3;16.2;18.4;21;23.9;27.1;31.1;35.9;40;42.8;44.4;44
"Spain";28.5;29.8;31.2;32.9;34.5;36.4;38;38.9;39.5;39.9;40.2;40.4
"Sri Lanka";8;9.1;10.4;11.7;13;14.1;15.4;16.5;17.6;18.7;19.6;20.4
"Sudan";8.5;9.8;11.2;12.7;14.6;17.1;20.4;24.7;28.2;32.2;37.1;42.3
"Swaziland";0.3;0.3;0.4;0.4;0.5;0.6;0.6;0.8;1;1.1;1.1;1.1
"Sweden";7.1;7.4;7.6;7.9;8.1;8.3;8.3;8.4;8.7;8.9;9;9
"Switzerland";4.8;5.1;5.7;6.1;6.4;6.3;6.5;6.6;7;7.2;7.4;7.6
"Syria";3.7;4.1;4.8;5.7;6.7;7.9;9.4;11.2;13.2;15.1;17.2;19.3
"Taiwan";8.6;10.2;11.9;13.6;15.2;16.8;18.5;19.8;20.7;21.6;22.5;23.2
"Tanzania";8.3;9.5;10.9;12.6;14.7;17.1;19.8;23;26.6;30.7;34.6;38.1
"Thailand";21.3;25;29.3;34;39.3;44.1;48.8;52.9;56.7;60.2;62.8;65.1
"Togo";1.2;1.4;1.5;1.7;2.1;2.3;2.6;3.2;3.7;4.3;5;5.7
"Trinidad and Tobago";0.7;0.8;0.9;1;1;1;1.1;1.2;1.2;1.1;1.1;1.1
"Tunisia";3.6;4;4.3;4.8;5.3;6;6.7;7.7;8.5;9.2;9.8;10.3
"Turkey";22.2;25.7;29.8;33.4;37.5;42.4;47.3;52.9;58.2;63;67.3;71.2
"Uganda";5.8;6.7;7.7;8.9;10.2;11.5;12.9;15.3;18.3;21.2;24.7;29.2
"United Kingdom";50.4;51.4;53.3;55;56.1;56.2;56.3;57;57.9;58.8;59.9;60.8
"United States";157.6;172;186.5;198.7;209.9;220.2;232.2;242.8;256.9;272.9;287.7;301.1
"Uruguay";2.3;2.4;2.6;2.7;2.8;2.9;3;3;3.1;3.3;3.4;3.4
"Venezuela";5.4;6.7;8.1;9.7;11.5;13.5;15.6;17.9;20.3;22.4;24.3;26.1
"Vietnam";26.2;29;33.8;39.5;44.7;50.5;56.1;62.8;69.9;76;80.9;85.3
"West Bank and Gaza";1;1.1;1.1;1.1;1.1;1.3;1.4;1.7;2.1;2.8;3.4;4
"Yemen, Rep.";5;5.5;6.1;6.7;7.4;8.4;9.7;11.2;13.4;15.8;18.7;22.2
"Zambia";2.7;3;3.4;3.9;4.5;5.2;6.1;7.3;8.4;9.4;10.6;11.7
"Zimbabwe";3.1;3.6;4.3;5;5.9;6.6;7.6;9.2;10.7;11.4;11.9;12.3
